hex_id,soft_wheat_area_km2,hard_wheat_area_km2,corn_grain_area_km2,corn_silage_area_km2,barley_area_km2,rapeseed_area_km2,sunflower_area_km2,sugarbeet_area_km2,vineyards_area_km2
188,57.81282,0.175,13.731,50.965,12.327,8.385,1.348,0.003,1.199
196,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,0.79155,NA,14.243,1.785,0.071,0.154,0.052,NA,0.001
198,7.859489999999999,0.086,120.261,1.985,1.135,5.5249999999999995,9.555,NA,0.767
199,3.97256,0.108,112.804,0.852,0.721,2.56,7.513,0.059,0.098
200,NA,NA,29.485,NA,0.077,NA,1.892,NA,NA
201,NA,NA,11.528,NA,NA,0.17,0.075,NA,0.132
202,0.19897,0.463,3.579,0.328,NA,NA,NA,0.002,2.231
203,7.2575,0.006,19.533,0.202,1.356,1.302,3.979,NA,38.296
203,7.2575,3.364,19.533,0.202,1.356,1.302,3.979,NA,38.296
204,46.98663,21.929,46.958,0.623,18.313,25.786,35.819,0.067,51.921
205,70.04029,26.11,68.262,9.986,17.41,14.175,23.575,0.007,0.236
206,54.99619,20.087,69.255,12.493,13.838,11.027,23.254,NA,0.742
206,54.99619,29.785,69.255,12.493,13.838,11.027,23.254,NA,0.742
207,73.57001,4.482,23.358,43.517,7.199,10.311,7.65,0.054,0.024
208,27.40135,NA,7.525,34.204,9.127,4.6080000000000005,0.325,0.042,0.002
216,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,1.26242,0.036,41.716,2.043,0.923,1.413,1.069,NA,10.256
218,8.20588,0.036,137.273,1.606,2.591,5.707,13.237,NA,4.053
219,0.10903,NA,16.517,NA,NA,0.18,1.666,NA,NA
220,0.00389,NA,33.407,NA,0.098,0.666,0.34,NA,NA
221,0.48841,NA,6.939,NA,0.178,NA,0.164,NA,25.785
222,2.87299,0.405,7.462,1.749,0.478,0.187,1.86,NA,69.512
223,45.87431,11.589,39.762,1.055,11.101,18.515,29.304,NA,54.933
223,45.87431,0.535,39.762,1.055,11.101,18.515,29.304,NA,54.933
224,42.82597,12.719,35.099,4.527,18.719,15.639,22.896,0.092,21.963
225,111.58316,19.276,37.923,8.119,31.441,28.81,35.896,0.119,0.032
225,111.58316,2.884,37.923,8.119,31.441,28.81,35.896,0.119,0.032
226,80.82343,11.297,34.878,29.361,12.175,22.771,23.545,0.002,0.13
227,60.71935,0.8,19.388,33.405,6.664,14.895,2.501,0.018,0.008
228,51.97161,0.092,10.508,51.838,8.142,8.317,1.53,0.04,3.122
235,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,0.21304,NA,18.809,8.267,0.148,0.118,0.301,NA,0.047
237,8.52907,0.027,150.549,3.629,3.881,5.269,8.131,NA,0.111
238,8.49694,0.374,115.039,1.81,0.4,5.431,11.832,0.031,3.295
239,NA,NA,20.999,NA,NA,NA,0.282,0.003,NA
240,0.89019,NA,5.594,0.25,0.044,NA,0.398,NA,22.285
241,3.12691,0.068,9.986,0.282,0.322,0.478,1.318,NA,53.877
242,10.28566,0.726,7.985,1.5719999999999998,2.7969999999999997,3.461,6.6739999999999995,NA,30.881
243,38.36503999999999,22.791,33.62,1.135,35.148,16.397,30.053,0.96,100.81
244,104.18586,15.196,30.825,3.002,36.759,25.14,43.694,0.04,17.71
245,93.23205,7.334,32.838,13.982,19.438,21.623,27.817,0.327,0.015
246,52.37889,0.434,19.946,35.602,8.314,11.796,4.712,0.002,0.003
247,44.06134,0.117,7.445,27.515,7.029,9.699,1.264,0.015,0.217
247,44.06134,0.041,7.445,27.515,7.029,9.699,1.264,0.015,0.217
254,0.01027,NA,0.501,0.543,0.015,NA,0.084,NA,NA
255,3.59066,0.012,178.172,9.498,3.817,2.622,3.432,0.003,0.003
256,18.32845,0.116,132.099,1.243,3.309,6.966,10.674,0.068,20.183
256,18.32845,0.039,132.099,1.243,3.309,6.966,10.674,0.068,20.183
257,3.77466,NA,43.503,0.009,0.426,2.992,5.735,NA,9.362
258,0.42529,0.086,2.403,0.669,0.044,0.426,0.565,NA,0.012
259,6.2699,0.006,7.725,1.394,0.418,0.587,3.888,NA,148.916
260,0.58906,0.164,2.6460000000000004,1.227,0.412,NA,0.305,NA,33.47
260,0.58906,0.14,2.6460000000000004,1.227,0.412,NA,0.305,NA,33.47
261,47.21225,12.077,28.82,2.253,25.268,16.501,32.819,0.253,83.251
262,34.70992,7.49,17.051,0.694,14.619,6.483,18.594,NA,111.09
263,95.19572,3.228,23.693,9.823,28.147,22.235,38.152,1.103,0.009
263,95.19572,5.13,23.693,9.823,28.147,22.235,38.152,1.103,0.009
264,73.66105,1.166,22.064,33.204,13.473,19.197,17.412,0.064,0.004
265,39.73845,0.546,7.205,23.176,8.844,9.071,3.186,NA,0.01
266,68.88064,11.908,15.027,21.102,12.018,18.562,16.569,0.119,52.303
266,68.88064,0.064,15.027,21.102,12.018,18.562,16.569,0.119,52.303
273,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,2.12075,0.029,33.635,3.289,0.742,0.558,1.071,NA,0.024
275,17.2946,0.218,116.884,5.328,3.015,6.189,8.985000000000001,NA,6.81
276,14.82933,0.089,85.905,0.224,0.833,6.887,9.648,NA,49.984
277,0.07868,NA,16.876,NA,NA,0.137,0.859,0.079,NA
278,16.49823,0.466,36.504,5.121,1.127,2.649,12.092,0.027,41.223
279,2.51925,NA,10.924,0.085,0.885,0.229,1.874,NA,111.291
280,10.66411,0.233,7.773,3.079,1.759,3.403,7.048,NA,13.773
281,27.40678,5.492,25.132,0.383,14.237,4.267,14.878,NA,154.591
282,97.00557,14.776,18.487,0.222,38.118,23.016,49.228,NA,16.680999999999997
282,97.00557,2.111,18.487,0.222,38.118,23.016,49.228,NA,16.680999999999997
283,99.9271,5.524,28.358,8.529,12.72,32.997,38.945,0.572,0.003
284,35.83185,0.65,9.48,25.341,8.068,11.335,5.24,0.09,0.003
285,84.11004,2.609,9.693,16.014,13.873,26.822999999999997,29.509,0.029,14.142
285,84.11004,8.975,9.693,16.014,13.873,26.822999999999997,29.509,0.029,14.142
292,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,16.86916,0.385,104.656,1.902,3.481,4.373,7.679,NA,0.073
294,33.6394,NA,56.076,2.689,4.717,7.253,11.686,NA,12.732
295,12.45107,NA,30.139,0.428,1.328,2.732,10.036,0.515,25.351
296,30.93845,2.032,22,0.63,0.578,2.648,17.546,0.535,4.26
297,13.59747,0.11,12.758,2.072,0.797,1.47,8.549,0.085,143.18
